,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Action,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Profit
63,tt3746918,The Losers,The Losers,2013,112.0,['Drama'],44,"Apr 23, 2010",The Losers,25000000.0,23591432.0,29863840.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4863840.0
64,tt0480687,Hall Pass,Hall Pass,2011,105.0,"['Comedy', 'Romance']",57,"Feb 25, 2011",Hall Pass,68000000.0,45060734.0,87173475.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,19173475.0
65,tt0481499,The Croods,The Croods,2013,98.0,"['Action', 'Adventure', 'Animation']",26,"Mar 22, 2013",The Croods,135000000.0,187168425.0,573068425.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,438068425.0
66,tt0482461,Barry Munday,Barry Munday,2010,95.0,"['Comedy', 'Drama', 'Romance']",61,"Oct 1, 2010",Barry Munday,3000000.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,-3000000.0
67,tt0485985,Red Tails,Red Tails,2012,125.0,"['Action', 'Adventure', 'Drama']",61,"Jan 20, 2012",Red Tails,58000000.0,49876377.0,50365498.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-7634502.0
68,tt0490215,Silence,Silence,2016,161.0,"['Adventure', 'Drama', 'History']",42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,-22773374.0
69,tt1731755,Silence,Hiljaisuus,2011,110.0,"['Drama', 'War']",42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,-22773374.0
70,tt2275949,Silence,Silence,2012,87.0,['Drama'],42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-22773374.0
71,tt2619946,Silence,Silence,2014,90.0,['Thriller'],42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-22773374.0
72,tt3181390,Silence,Silence,2012,7.0,"['Biography', 'Documentary']",42,"Dec 23, 2016",Silence,46500000.0,7100177.0,23726626.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-22773374.0
