,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Adventure,Comedy,Family,Crime,Thriller,Sport,Animation,Horror,Fantasy,Romance,Sci-Fi,Documentary,History,Music,Mystery,Drama,War,Biography,Musical,Action
684,tt2854926,6.5,85186,Tag,Tag,2018,100.0,Comedy,50,"Jun 15, 2018",Tag,"$28,000,000","$54,730,625",77026186.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
685,tt4439120,6.1,4331,Tag,Riaru onigokko,2015,85.0,"Action,Fantasy,Horror",50,"Jun 15, 2018",Tag,"$28,000,000","$54,730,625",77026186.0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
686,tt2873282,6.6,136738,Red Sparrow,Red Sparrow,2018,140.0,"Action,Drama,Thriller",52,"Mar 2, 2018",Red Sparrow,"$69,000,000","$46,874,505",145951861.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
687,tt2923316,5.1,15547,American Heist,American Heist,2014,94.0,"Action,Crime,Drama",35,"Jul 21, 2015",American Heist,"$10,000,000",$0,2341218.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
688,tt3072482,6.7,78226,Hardcore Henry,Hardcore Henry,2015,96.0,"Action,Adventure,Sci-Fi",100,"Apr 8, 2016",Hardcore Henry,"$2,000,000","$9,252,038",17187434.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
689,tt3316948,6.1,76769,American Ultra,American Ultra,2015,96.0,"Action,Comedy,Sci-Fi",72,"Aug 21, 2015",American Ultra,"$28,000,000","$14,439,985",30295028.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
690,tt3319920,5.7,33335,Regression,Regression,2015,106.0,"Crime,Horror,Mystery",6,"Oct 30, 2015",Regression,"$20,000,000","$55,039",15824374.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
691,tt3504048,6.8,29757,Housebound,Housebound,2014,107.0,"Comedy,Horror,Mystery",7,"Oct 17, 2014",Housebound,"$1,500,000",$0,236863.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
692,tt3566698,4.9,701,Vaalu,Vaalu,2015,155.0,"Comedy,Romance",14,"Dec 31, 2015",Vaalu,"$1,900,000",$0,12444.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
693,tt3860916,6.3,27339,Cargo,Cargo,2017,105.0,"Drama,Horror,Sci-Fi",73,"Oct 21, 2011",Cargo,"$4,200,000",$0,313230.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
694,tt4157220,7.1,3947,Iris,Iris,2014,79.0,"Biography,Documentary,History",23,"Dec 14, 2001",Iris,"$5,500,000","$5,580,479",5580479.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
695,tt4572514,7.4,76204,Patriots Day,Patriots Day,2016,133.0,"Action,Crime,Drama",69,"Dec 21, 2016",Patriots Day,"$40,000,000","$31,886,361",52837989.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
696,tt4902904,6.2,1562,The Resurrection of Gavin Stone,The Resurrection of Gavin Stone,2016,91.0,"Comedy,Drama,Family",26,"Jan 20, 2017",The Resurrection of Gavin Stone,"$2,000,000","$2,303,792",2303792.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
697,tt5804314,4.8,2179,Let There Be Light,Let There Be Light,2017,100.0,Drama,3,"Oct 27, 2017",Let There Be Light,"$3,000,000","$7,233,471",7241309.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
698,tt6243140,5.9,5970,Ravenous,Les affamés,2017,104.0,"Drama,Horror,Sci-Fi",27,"Mar 19, 1999",Ravenous,"$12,000,000","$2,062,406",2062406.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
699,tt0770703,6.1,67922,What's Your Number?,What's Your Number?,2011,106.0,"Comedy,Romance",24,"Sep 30, 2011",What's Your Number?,"$20,000,000","$14,011,084",30163785.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
700,tt0810913,3.3,71361,Jack and Jill,Jack and Jill,2011,91.0,Comedy,11,"Nov 11, 2011",Jack and Jill,"$79,000,000","$74,158,157",150519217.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
